take,put,wash,open,close,insert,turn-on,cut,turn-off,pour,move,tails
540,394,189,154,82,100,57,56,27,46,5,287
350,412,208,156,87,90,50,40,37,52,9,218
232,192,269,88,52,49,25,32,22,27,7,146
177,144,87,135,42,40,21,20,17,22,2,103
125,99,52,45,53,26,9,14,11,16,1,63
134,125,65,41,38,45,14,31,15,21,3,76
60,57,29,22,14,17,27,5,9,13,1,49
70,55,26,32,10,28,8,15,2,7,2,37
54,40,24,18,6,3,7,5,13,6,2,33
46,58,29,20,13,15,7,9,2,13,1,29
31,22,18,14,6,8,3,6,5,3,3,22
367,344,204,171,85,106,49,55,24,73,7,275
